ID,Age,Gender,Education_Level,Country,Employment_Status,Years_Programming,Primary_Role,Company_Size,Languages_Count,Paradigms_Experienced,Primary_Paradigm,Projects_Completed,Hours_Per_Week,Formal_CS_Training,Current_Salary_USD,Imperative_Difficulty,Functional_Difficulty,Object_Oriented_Difficulty,Logic_Difficulty,Reactive_Difficulty,Declarative_Difficulty,Imperative_Months,Functional_Months,Object_Oriented_Months,Logic_Months,Reactive_Months,Declarative_Months,Learning_Curve_Steepness,Plateau_Experienced,Knowledge_Retention,Difficulty_Transitioning,Prefer_First_Paradigm,Mental_Model_Shift,Preferred_Learning_Method,Motivation_Factors,Biggest_Challenge,Transferable_Skills,Avg_Difficulty,Total_Learning_Months,Experience_Level,Salary_Category,Paradigm_Diversity
24,22,Female,Bachelor's Degree,India,Part-time,1.0,Junior Developer,Startup (1-10),3,2,Object-Oriented,5,28,Yes,31000,4,7.0,3,9,8.0,6,3.0,8.0,2.0,10.0,7.0,5.0,4.0,Yes,4.0,3.0,No,4.0,Peer programming,Problem-solving fun,Reactive streams,Event handling,6.166666666666667,35.0,Beginner (<2 years),Low (<50k),0.4
25,31,Non-binary,Master's Degree,USA,Full-time,8.0,Full Stack Developer,Large (1000+),6,4,Object-Oriented,19,46,Yes,86000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Project-based,Career advancement,Design patterns,Software design,3.6666666666666665,28.5,Experienced (5-10 years),Medium (50k-100k),0.8
26,27,Male,Bachelor's Degree,Australia,Full-time,4.0,Mobile Developer,Medium (101-500),5,3,Functional,16,42,Yes,73000,5,5.0,5,5,7.0,5,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Academic study,Intellectual stimulation,Type theory,Correctness proof,5.333333333333333,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
27,39,Female,PhD,Sweden,Full-time,16.0,System Architect,Large (1000+),10,5,Object-Oriented,50,50,Yes,165000,3,5.0,3,1,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Documentation,Practical needs,Manual memory,Procedural thinking,3.5,28.5,Expert (10+ years),Very High (150k+),1.0
28,24,Male,Bachelor's Degree,Spain,Contract,2.5,Game Developer,Small (11-50),4,3,Procedural,10,39,Yes,64000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Mentorship,Technical growth,Higher-order functions,Functional patterns,4.5,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
29,33,Female,Master's Degree,Japan,Full-time,9.0,Backend Developer,Large (1000+),7,4,Functional,27,47,Yes,112000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,Yes,3.5,Tutorials,Skill development,Class design,OOP principles,3.6666666666666665,28.5,Experienced (5-10 years),High (100k-150k),0.8
30,26,Non-binary,Bachelor's Degree,Poland,Full-time,3.0,Frontend Developer,Medium (101-500),5,3,Object-Oriented,14,43,Yes,77000,5,5.0,5,5,7.0,5,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Academic study,Theoretical interest,Logic deduction,Rule systems,5.333333333333333,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
31,37,Male,Master's Degree,Netherlands,Full-time,12.0,DevOps Engineer,Large (1000+),8,5,Object-Oriented,33,49,Yes,128000,2,5.0,2,1,7.0,1,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Online courses,Employment,Basic concepts,Simple debugging,3.0,28.5,Expert (10+ years),High (100k-150k),1.0
32,29,Female,Bachelor's Degree,Mexico,Full-time,5.0,Web Developer,Small (11-50),4,3,Object-Oriented,11,41,Yes,71000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Peer programming,Community interaction,Immutability,Data pipelines,4.5,28.5,Experienced (5-10 years),Medium (50k-100k),0.6
33,24,Male,Bachelor's Degree,South Korea,Part-time,1.5,Junior Developer,Startup (1-10),3,2,Object-Oriented,8,34,Yes,36000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Project-based,Career growth,Inheritance chains,Object relations,3.6666666666666665,28.5,Beginner (<2 years),Low (<50k),0.4
34,35,Non-binary,Master's Degree,USA,Full-time,10.0,Data Scientist,Large (1000+),9,5,Functional,44,52,Yes,150000,5,5.0,6,5,7.0,6,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Research papers,Conceptual challenge,Mathematical proofs,Formal methods,5.666666666666667,28.5,Expert (10+ years),Very High (150k+),1.0
35,28,Female,Bachelor's Degree,Canada,Full-time,4.0,Full Stack Developer,Medium (101-500),5,3,Object-Oriented,13,44,Yes,79000,3,5.0,3,1,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Bootcamp,Job requirements,State handling,Sequential execution,3.5,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
36,41,Male,PhD,Germany,Full-time,17.0,Principal Engineer,Large (1000+),9,5,Object-Oriented,46,51,Yes,158000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Mentorship,Learning experience,Currying,Function reuse,4.5,28.5,Expert (10+ years),Very High (150k+),1.0
37,26,Female,Bachelor's Degree,UK,Contract,3.0,Frontend Developer,Small (11-50),4,3,Procedural,9,40,Yes,61000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,Yes,3.5,Documentation,Practical applications,Encapsulation,Module design,3.6666666666666665,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
38,32,Male,Master's Degree,France,Full-time,8.0,Backend Developer,Medium (101-500),7,4,Functional,25,46,Yes,110000,5,5.0,5,5,7.0,5,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Academic study,Intellectual pursuit,Backtracking,Search algorithms,5.333333333333333,28.5,Experienced (5-10 years),High (100k-150k),0.8
39,27,Non-binary,Bachelor's Degree,Brazil,Full-time,4.5,Mobile Developer,Startup (1-10),5,3,Object-Oriented,12,42,Yes,72000,2,5.0,2,1,7.0,1,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Tutorials,Immediate use,Basic syntax,Simple patterns,3.0,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
40,30,Female,Master's Degree,India,Full-time,7.0,DevOps Engineer,Large (1000+),8,5,Object-Oriented,32,48,Yes,132000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Peer programming,Problem-solving,Observables,Async patterns,4.5,28.5,Experienced (5-10 years),High (100k-150k),1.0
41,25,Male,Bachelor's Degree,Australia,Full-time,2.5,Web Developer,Medium (101-500),5,3,Object-Oriented,11,42,Yes,73000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Online courses,Career development,Polymorphism,Interface design,3.6666666666666665,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
42,38,Female,PhD,Spain,Full-time,15.0,ML Engineer,Large (1000+),9,5,Functional,41,51,Yes,148000,5,5.0,6,5,7.0,6,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Research papers,Theoretical beauty,Type inference,Generic programming,5.666666666666667,28.5,Expert (10+ years),High (100k-150k),1.0
43,23,Non-binary,Bachelor's Degree,Sweden,Part-time,2.0,Junior Developer,Small (11-50),4,3,Procedural,12,36,No,62000,3,5.0,3,1,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Project-based,Job needs,Memory allocation,Flow control,3.5,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
44,34,Male,Master's Degree,Poland,Full-time,11.0,Backend Developer,Large (1000+),7,4,Object-Oriented,22,46,Yes,107000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Mentorship,Technical depth,Monads,Effect handling,4.5,28.5,Expert (10+ years),High (100k-150k),0.8
45,29,Female,Bachelor's Degree,Netherlands,Full-time,5.0,Frontend Developer,Medium (101-500),5,3,Object-Oriented,16,40,Yes,82000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,Yes,3.5,Documentation,Skill improvement,Design patterns,Architecture,3.6666666666666665,28.5,Experienced (5-10 years),Medium (50k-100k),0.6
46,26,Male,Bachelor's Degree,Mexico,Contract,3.0,Full Stack Developer,Small (11-50),4,3,Procedural,12,37,No,59000,5,5.0,5,5,7.0,5,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Academic study,Conceptual understanding,Logic resolution,Query thinking,5.333333333333333,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
47,36,Non-binary,Master's Degree,South Korea,Full-time,13.0,System Architect,Large (1000+),10,5,Object-Oriented,49,52,Yes,162000,2,5.0,2,1,7.0,1,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Bootcamp,Employment,Basic paradigms,Simple solutions,3.0,28.5,Expert (10+ years),Very High (150k+),1.0
48,31,Female,Bachelor's Degree,USA,Full-time,8.0,Data Engineer,Medium (101-500),7,4,Functional,24,44,Yes,118000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Peer programming,Community learning,Immutability,Data flow,4.5,28.5,Experienced (5-10 years),High (100k-150k),0.8
49,28,Male,Master's Degree,Canada,Full-time,5.0,Android Developer,Startup (1-10),5,3,Object-Oriented,12,42,Yes,74000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Project-based,Professional growth,Inheritance,Code reuse,3.6666666666666665,28.5,Experienced (5-10 years),Medium (50k-100k),0.6
50,24,Female,Bachelor's Degree,Germany,Part-time,2.0,Junior Developer,Small (11-50),4,3,Procedural,10,39,Yes,67000,5,5.0,5,5,7.0,5,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Academic study,Theoretical interest,Constraint solving,Optimization,5.333333333333333,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
51,33,Non-binary,PhD,UK,Full-time,10.0,Backend Developer,Large (1000+),8,5,Functional,36,48,Yes,140000,2,5.0,2,1,7.0,1,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Documentation,Job needs,Syntax learning,Basic coding,3.0,28.5,Expert (10+ years),High (100k-150k),1.0
52,27,Male,Bachelor's Degree,France,Full-time,4.0,Web Developer,Medium (101-500),5,3,Object-Oriented,15,41,Yes,86000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Peer programming,Problem enjoyment,Reactive programming,Event systems,4.5,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
53,39,Female,Master's Degree,Brazil,Full-time,14.0,DevOps Engineer,Large (1000+),8,5,Object-Oriented,31,50,Yes,122000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Bootcamp,Career advancement,Polymorphism,Flexible design,3.6666666666666665,28.5,Expert (10+ years),High (100k-150k),1.0
54,25,Male,Bachelor's Degree,India,Contract,2.5,Frontend Developer,Small (11-50),4,3,Procedural,11,38,No,59000,5,5.0,6,5,7.0,6,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Research papers,Conceptual depth,Type classes,Generic patterns,5.666666666666667,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
55,30,Non-binary,Master's Degree,Australia,Full-time,7.0,Full Stack Developer,Medium (101-500),6,4,Functional,21,44,Yes,94000,3,5.0,3,1,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Tutorials,Practical use,Memory patterns,Algorithm design,3.5,28.5,Experienced (5-10 years),Medium (50k-100k),0.8
56,35,Female,Bachelor's Degree,Spain,Full-time,9.0,Backend Developer,Startup (1-10),5,3,Object-Oriented,10,41,Yes,71000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Mentorship,Technical growth,Function composition,Pipeline thinking,4.5,28.5,Experienced (5-10 years),Medium (50k-100k),0.6
57,22,Male,Bachelor's Degree,Sweden,Part-time,1.0,Junior Developer,Small (11-50),3,2,Object-Oriented,6,31,Yes,33000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,Yes,3.5,Online courses,Skill development,Encapsulation,Module design,3.6666666666666665,28.5,Beginner (<2 years),Low (<50k),0.4
58,37,Female,PhD,Poland,Full-time,16.0,Principal Engineer,Large (1000+),10,5,Object-Oriented,47,51,Yes,160000,5,5.0,5,5,7.0,5,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Academic study,Intellectual curiosity,Logic programming,Rule-based,5.333333333333333,28.5,Expert (10+ years),Very High (150k+),1.0
59,29,Male,Master's Degree,Netherlands,Full-time,6.0,Mobile Developer,Medium (101-500),5,3,Functional,15,43,Yes,75000,2,5.0,2,1,7.0,1,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Online courses,Job requirements,Basic programming concepts,Simple logical thinking,3.0,28.5,Experienced (5-10 years),Medium (50k-100k),0.6
60,26,Non-binary,Bachelor's Degree,Mexico,Full-time,3.5,Web Developer,Small (11-50),4,3,Object-Oriented,13,42,Yes,78000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Peer programming,Community engagement,Immutability principles,Data transformation techniques,4.5,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
61,32,Female,Master's Degree,South Korea,Full-time,8.0,Data Scientist,Large (1000+),7,4,Functional,20,45,Yes,100000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Project-based,Career growth,Class hierarchy design,Object system architecture,3.6666666666666665,28.5,Experienced (5-10 years),High (100k-150k),0.8
62,28,Male,Bachelor's Degree,USA,Full-time,4.0,Frontend Developer,Medium (101-500),5,3,Object-Oriented,14,42,Yes,79000,5,5.0,6,5,7.0,6,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Research papers,Theoretical challenge,Mathematical thinking patterns,Proof construction skills,5.666666666666667,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
63,41,Non-binary,PhD,Canada,Full-time,18.0,System Architect,Large (1000+),9,5,Functional,39,50,Yes,144000,3,5.0,3,1,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Documentation,Employment opportunities,State management techniques,Control flow design,3.5,28.5,Expert (10+ years),High (100k-150k),1.0
64,24,Female,Bachelor's Degree,Germany,Contract,2.0,Junior Developer,Small (11-50),4,3,Procedural,11,38,No,64000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Mentorship,Learning curve navigation,Monad concepts,Effect handling patterns,4.5,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
65,34,Male,Master's Degree,UK,Full-time,12.0,Backend Developer,Medium (101-500),8,5,Object-Oriented,30,49,Yes,125000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,Yes,3.5,Bootcamp,Practical application needs,Design pattern implementation,Software architecture principles,3.6666666666666665,28.5,Expert (10+ years),High (100k-150k),1.0
66,27,Female,Bachelor's Degree,France,Full-time,4.5,Full Stack Developer,Startup (1-10),5,3,Object-Oriented,9,38,Yes,69000,5,5.0,5,5,7.0,5,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Academic study,Conceptual beauty appreciation,Backtracking algorithms,Search pattern optimization,5.333333333333333,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
67,31,Non-binary,Master's Degree,Brazil,Full-time,7.0,DevOps Engineer,Large (1000+),7,4,Functional,23,45,Yes,122000,2,5.0,2,1,7.0,1,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Tutorials,Immediate project needs,Basic syntax acquisition,Simple algorithmic thinking,3.0,28.5,Experienced (5-10 years),High (100k-150k),0.8
68,25,Male,Bachelor's Degree,India,Full-time,3.0,Web Developer,Medium (101-500),5,3,Object-Oriented,13,41,Yes,81000,4,5.0,4,3,7.0,4,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Peer programming,Problem-solving satisfaction,Observable patterns,Async system design,4.5,28.5,Intermediate (2-5 years),Medium (50k-100k),0.6
69,38,Female,PhD,Australia,Full-time,15.0,ML Engineer,Large (1000+),8,5,Object-Oriented,29,47,Yes,130000,3,5.0,3,2,7.0,2,2.0,6.0,2.0,9.0,5.5,4.0,3.5,No,4.0,3.0,Yes,3.5,Online courses,Career development paths,Polymorphic design,Interface architecture,3.6666666666666665,28.5,Expert (10+ years),High (100k-150k),1.0
70,23,Male,Bachelor's Degree,Spain,Part-time,1.5,Junior Developer,Small (11-50),4,3,Procedural,12,37,No,65000,5,5.0,6,5,7.0,6,2.0,6.0,2.0,9.0,5.5,4.0,3.5,Yes,4.0,3.0,No,3.5,Research papers,Intellectual stimulation sources,Type inference systems,Generic programming techniques,5.666666666666667,28.5,Beginner (<2 years),Medium (50k-100k),0.6
